ano;trim;geo;cod-ca;ca;cod-prv;prv;viv-num;viv-imp;viv-pm2;gar-num;gar-imp;gar-pm2;tras-num;tras-imp;tras-pm2;
2007;2;Provincia;1;Andalucía;21;Huelva;11219;139626;1472,00;2488;16594;1002,47;633;5661;948,44;
2007;2;Provincia;1;Andalucía;23;Jaén;9935;98325;936,49;3041;11135;782,15;594;6062;840,64;
2007;2;Provincia;1;Andalucía;29;Málaga;43733;174293;1819,83;16994;18423;972,40;3888;7139;1025,31;
2007;2;Provincia;1;Andalucía;41;Sevilla;33710;138287;1380,45;11120;17769;1079,33;1880;6179;980,80;
2007;2;Comunidad;2;Aragón;98;ARAGÓN;22803;178395;2148,32;9434;17000;1214,21;4094;5437;959,71;
2007;2;Provincia;2;Aragón;22;Huesca;5430;149383;1866,37;3310;13951;934,01;1835;4180;741,98;
2007;2;Provincia;2;Aragón;44;Teruel;2111;100390;1000,66;530;15245;1146,89;179;4388;713,52;
2007;2;Provincia;2;Aragón;50;Zaragoza;15262;196514;2366,36;5594;18922;1382,31;2080;6531;1153,78;
2007;2;Comunidad;3;Principado de Asturias;98;PRINCIPADO DE ASTURIAS;18900;127437;1576,76;10696;13219;968,22;2931;4797;873,77;
2007;2;Provincia;3;Principado de Asturias;33;Asturias;18900;127437;1576,76;10696;13219;968,22;2931;4797;873,77;
2007;2;Comunidad;4;Illes Balears;98;ILLES BALEARS;24927;185816;2065,17;10159;16588;1355,18;1776;5236;999,52;
2007;2;Provincia;4;Illes Balears;7;Illes Balears;24927;185816;2065,17;10159;16588;1355,18;1776;5236;999,52;
2007;2;Comunidad;5;Canarias;98;CANARIAS;40277;129852;1613,94;11992;16090;1107,03;2132;4843;924,58;
2007;2;Provincia;5;Canarias;35;Las Palmas;19606;127354;1598,94;5329;18666;1240,31;1129;5105;1029,01;
2007;2;Provincia;5;Canarias;38;Santa Cruz de Tenerife;20671;131985;1626,74;6663;13891;993,28;1003;4527;798,31;
2007;2;Comunidad;6;Cantabria;98;CANTABRIA;11629;162334;1843,09;5373;16013;962,69;1233;7188;1017,65;
2007;2;Provincia;6;Cantabria;39;Cantabria;11629;162334;1843,09;5373;16013;962,69;1233;7188;1017,65;
2007;2;Comunidad;7;Castilla y León;98;CASTILLA Y LEÓN;45877;137947;1409,34;18944;14478;1023,44;3487;5324;879,37;
2007;2;Provincia;7;Castilla y León;5;Ávila;2976;110378;1131,44;875;10471;734,32;157;3586;628,63;
2007;2;Provincia;7;Castilla y León;9;Burgos;7163;158443;1677,79;3495;16988;1194,88;931;7725;1180,98;
2007;2;Provincia;7;Castilla y León;24;León;8987;114829;1171,80;3933;10209;827,35;374;4428;585,33;
2007;2;Provincia;7;Castilla y León;34;Palencia;2385;114688;1127,58;484;16573;1082,09;220;4935;984,52;
2007;2;Provincia;7;Castilla y León;37;Salamanca;6494;130941;1392,30;3130;19016;1197,51;348;5723;899,77;
