Comunidades y Ciudades Autónomas;Edad del trabajador;Sexo;Periodo;Total
Aragón;55 y más años;Mujeres;2009;-20.668,03
Aragón;55 y más años;Mujeres;2008;-19.840,21
Aragón;55 y más años;Hombres;2024;33.108,72
Aragón;55 y más años;Hombres;2023;32.266,97
Aragón;55 y más años;Hombres;2022;31.458,60
Aragón;55 y más años;Hombres;2021;29.624,74
Aragón;55 y más años;Hombres;2020;29.017,90
Aragón;55 y más años;Hombres;2019;29.545,05
Aragón;55 y más años;Hombres;2018;30.986,33
Aragón;55 y más años;Hombres;2017;28.345,03
Aragón;55 y más años;Hombres;2016;28.528,62
Aragón;55 y más años;Hombres;2015;28.933,73
Aragón;55 y más años;Hombres;2014;26.884,34
Aragón;55 y más años;Hombres;2013;27.201,16
Aragón;55 y más años;Hombres;2012;27.974,46
Aragón;55 y más años;Hombres;2011;26.361,37
Aragón;55 y más años;Hombres;2010;27.397,46
Aragón;55 y más años;Hombres;2009;25.299,55
Aragón;55 y más años;Hombres;2008;25.238,54
Asturias, Principado de;Todas las edades;Ambos sexos;2024;28.562,31
Asturias, Principado de;Todas las edades;Ambos sexos;2023;27.916,60
Asturias, Principado de;Todas las edades;Ambos sexos;2022;26.745,93
Asturias, Principado de;Todas las edades;Ambos sexos;2021;25.046,60
Asturias, Principado de;Todas las edades;Ambos sexos;2020;24.527,96
Asturias, Principado de;Todas las edades;Ambos sexos;2019;24.865,89
Asturias, Principado de;Todas las edades;Ambos sexos;2018;23.914,61
Asturias, Principado de;Todas las edades;Ambos sexos;2017;23.609,67
Asturias, Principado de;Todas las edades;Ambos sexos;2016;23.095,83
Asturias, Principado de;Todas las edades;Ambos sexos;2015;22.826,06
Asturias, Principado de;Todas las edades;Ambos sexos;2014;22.045,29
Asturias, Principado de;Todas las edades;Ambos sexos;2013;21.994,99
Asturias, Principado de;Todas las edades;Ambos sexos;2012;21.750,66
Asturias, Principado de;Todas las edades;Ambos sexos;2011;22.286,48
Asturias, Principado de;Todas las edades;Ambos sexos;2010;22.241,39
Asturias, Principado de;Todas las edades;Ambos sexos;2009;22.597,97
Asturias, Principado de;Todas las edades;Ambos sexos;2008;21.805,67
Asturias, Principado de;Todas las edades;Mujeres;2024;25.414,38
Asturias, Principado de;Todas las edades;Mujeres;2023;24.808,62
Asturias, Principado de;Todas las edades;Mujeres;2022;23.792,42
Asturias, Principado de;Todas las edades;Mujeres;2021;21.808,96
Asturias, Principado de;Todas las edades;Mujeres;2020;21.308,01
Asturias, Principado de;Todas las edades;Mujeres;2019;21.298,58
Asturias, Principado de;Todas las edades;Mujeres;2018;19.744,94
Asturias, Principado de;Todas las edades;Mujeres;2017;19.426,48
Asturias, Principado de;Todas las edades;Mujeres;2016;19.077,92
Asturias, Principado de;Todas las edades;Mujeres;2015;18.925,34
Asturias, Principado de;Todas las edades;Mujeres;2014;18.400,68
Asturias, Principado de;Todas las edades;Mujeres;2013;18.455,34
Asturias, Principado de;Todas las edades;Mujeres;2012;18.026,01
Asturias, Principado de;Todas las edades;Mujeres;2011;18.721,59
Asturias, Principado de;Todas las edades;Mujeres;2010;18.786,13
Asturias, Principado de;Todas las edades;Mujeres;2009;19.289,76
Asturias, Principado de;Todas las edades;Mujeres;2008;18.452,09
Asturias, Principado de;Todas las edades;Hombres;2024;31.852,13
Asturias, Principado de;Todas las edades;Hombres;2023;31.033,72
Asturias, Principado de;Todas las edades;Hombres;2022;29.573,74
Asturias, Principado de;Todas las edades;Hombres;2021;28.399,51
Asturias, Principado de;Todas las edades;Hombres;2020;27.948,09
Asturias, Principado de;Todas las edades;Hombres;2019;28.481,75
Asturias, Principado de;Todas las edades;Hombres;2018;27.912,91
Asturias, Principado de;Todas las edades;Hombres;2017;27.849
Asturias, Principado de;Todas las edades;Hombres;2016;27.010,87
Asturias, Principado de;Todas las edades;Hombres;2015;26.514,68
Asturias, Principado de;Todas las edades;Hombres;2014;25.322,01
Asturias, Principado de;Todas las edades;Hombres;2013;25.500,04
Asturias, Principado de;Todas las edades;Hombres;2012;25.048,82
Asturias, Principado de;Todas las edades;Hombres;2011;25.346,39
Asturias, Principado de;Todas las edades;Hombres;2010;25.170,79
Asturias, Principado de;Todas las edades;Hombres;2009;25.175,71
Asturias, Principado de;Todas las edades;Hombres;2008;24.306,27
Asturias, Principado de;Menos de 25 años;Ambos sexos;2024;-14.556,92
Asturias, Principado de;Menos de 25 años;Ambos sexos;2023;-15.686,25
Asturias, Principado de;Menos de 25 años;Ambos sexos;2022;-13.666,60
Asturias, Principado de;Menos de 25 años;Ambos sexos;2021;-13.307,32
Asturias, Principado de;Menos de 25 años;Ambos sexos;2020;-11.761,43
Asturias, Principado de;Menos de 25 años;Ambos sexos;2019;-10.414,81
Asturias, Principado de;Menos de 25 años;Ambos sexos;2018;-10.918,17
Asturias, Principado de;Menos de 25 años;Ambos sexos;2017;..
Asturias, Principado de;Menos de 25 años;Ambos sexos;2016;..
Asturias, Principado de;Menos de 25 años;Ambos sexos;2015;-11.797,10
Asturias, Principado de;Menos de 25 años;Ambos sexos;2014;-11.135,28
Asturias, Principado de;Menos de 25 años;Ambos sexos;2013;-11.579,83
Asturias, Principado de;Menos de 25 años;Ambos sexos;2012;-10.844,33
Asturias, Principado de;Menos de 25 años;Ambos sexos;2011;-11.822,98
Asturias, Principado de;Menos de 25 años;Ambos sexos;2010;-13.586,37
Asturias, Principado de;Menos de 25 años;Ambos sexos;2009;-13.430,66
Asturias, Principado de;Menos de 25 años;Ambos sexos;2008;-13.056,19
Asturias, Principado de;Menos de 25 años;Mujeres;2024;..
Asturias, Principado de;Menos de 25 años;Mujeres;2023;..
Asturias, Principado de;Menos de 25 años;Mujeres;2022;..
Asturias, Principado de;Menos de 25 años;Mujeres;2021;..
Asturias, Principado de;Menos de 25 años;Mujeres;2020;..
Asturias, Principado de;Menos de 25 años;Mujeres;2019;..
Asturias, Principado de;Menos de 25 años;Mujeres;2018;..
Asturias, Principado de;Menos de 25 años;Mujeres;2017;..
Asturias, Principado de;Menos de 25 años;Mujeres;2016;..
Asturias, Principado de;Menos de 25 años;Mujeres;2015;..
Asturias, Principado de;Menos de 25 años;Mujeres;2014;..
Asturias, Principado de;Menos de 25 años;Mujeres;2013;..
Asturias, Principado de;Menos de 25 años;Mujeres;2012;..
Asturias, Principado de;Menos de 25 años;Mujeres;2011;..
Asturias, Principado de;Menos de 25 años;Mujeres;2010;-11.159,54
Asturias, Principado de;Menos de 25 años;Mujeres;2009;..
Asturias, Principado de;Menos de 25 años;Mujeres;2008;-10.367,70
Asturias, Principado de;Menos de 25 años;Hombres;2024;-16.538,05
Asturias, Principado de;Menos de 25 años;Hombres;2023;-17.053,63
Asturias, Principado de;Menos de 25 años;Hombres;2022;-14.463,93
Asturias, Principado de;Menos de 25 años;Hombres;2021;..
Asturias, Principado de;Menos de 25 años;Hombres;2020;..
Asturias, Principado de;Menos de 25 años;Hombres;2019;..
Asturias, Principado de;Menos de 25 años;Hombres;2018;..
Asturias, Principado de;Menos de 25 años;Hombres;2017;..
Asturias, Principado de;Menos de 25 años;Hombres;2016;..
Asturias, Principado de;Menos de 25 años;Hombres;2015;..
Asturias, Principado de;Menos de 25 años;Hombres;2014;..
Asturias, Principado de;Menos de 25 años;Hombres;2013;..
Asturias, Principado de;Menos de 25 años;Hombres;2012;..
Asturias, Principado de;Menos de 25 años;Hombres;2011;-13.785,27
Asturias, Principado de;Menos de 25 años;Hombres;2010;-15.889,24
Asturias, Principado de;Menos de 25 años;Hombres;2009;-14.427,27
Asturias, Principado de;Menos de 25 años;Hombres;2008;-14.872,94
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2024;21.862,39
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2023;21.361,32
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2022;21.208,86
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2021;18.570,67
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2020;18.973,91
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2019;18.309,70
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2018;18.141,88
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2017;18.184,15
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2016;17.598,04
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2015;18.246,18
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2014;17.707,53
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2013;16.517,90
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2012;17.924,12
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2011;17.988,92
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2010;19.044,14
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2009;18.568,04
Asturias, Principado de;De 25 a 34 años;Ambos sexos;2008;18.246,86
Asturias, Principado de;De 25 a 34 años;Mujeres;2024;-19.693,60
Asturias, Principado de;De 25 a 34 años;Mujeres;2023;-19.563,63
Asturias, Principado de;De 25 a 34 años;Mujeres;2022;-18.933,42
Asturias, Principado de;De 25 a 34 años;Mujeres;2021;-15.830,55
Asturias, Principado de;De 25 a 34 años;Mujeres;2020;-15.610,99
Asturias, Principado de;De 25 a 34 años;Mujeres;2019;-15.536,78
Asturias, Principado de;De 25 a 34 años;Mujeres;2018;-15.253,51
Asturias, Principado de;De 25 a 34 años;Mujeres;2017;-14.745,51
Asturias, Principado de;De 25 a 34 años;Mujeres;2016;-14.647,59
Asturias, Principado de;De 25 a 34 años;Mujeres;2015;14.830,89
Asturias, Principado de;De 25 a 34 años;Mujeres;2014;14.571,25
Asturias, Principado de;De 25 a 34 años;Mujeres;2013;13.910,98
Asturias, Principado de;De 25 a 34 años;Mujeres;2012;15.380,83
Asturias, Principado de;De 25 a 34 años;Mujeres;2011;15.372,19
Asturias, Principado de;De 25 a 34 años;Mujeres;2010;16.443,57
Asturias, Principado de;De 25 a 34 años;Mujeres;2009;16.173
Asturias, Principado de;De 25 a 34 años;Mujeres;2008;15.464,08
Asturias, Principado de;De 25 a 34 años;Hombres;2024;23.762,16
Asturias, Principado de;De 25 a 34 años;Hombres;2023;23.085,95
Asturias, Principado de;De 25 a 34 años;Hombres;2022;22.701,60
Asturias, Principado de;De 25 a 34 años;Hombres;2021;21.424,28
Asturias, Principado de;De 25 a 34 años;Hombres;2020;22.140,04
Asturias, Principado de;De 25 a 34 años;Hombres;2019;21.187,26
Asturias, Principado de;De 25 a 34 años;Hombres;2018;20.977,27
Asturias, Principado de;De 25 a 34 años;Hombres;2017;21.326,17
Asturias, Principado de;De 25 a 34 años;Hombres;2016;20.482,63
Asturias, Principado de;De 25 a 34 años;Hombres;2015;21.695,50
Asturias, Principado de;De 25 a 34 años;Hombres;2014;20.652,07
Asturias, Principado de;De 25 a 34 años;Hombres;2013;19.735,01
Asturias, Principado de;De 25 a 34 años;Hombres;2012;20.490,83
Asturias, Principado de;De 25 a 34 años;Hombres;2011;20.603,70
Asturias, Principado de;De 25 a 34 años;Hombres;2010;21.682,78
Asturias, Principado de;De 25 a 34 años;Hombres;2009;20.602,11
Asturias, Principado de;De 25 a 34 años;Hombres;2008;20.498,94
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2024;27.114,27
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2023;26.256,44
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2022;25.518,43
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2021;24.195
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2020;23.641,84
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2019;25.249,64
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2018;23.332,68
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2017;22.677,56
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2016;22.487,02
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2015;22.149,75
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2014;22.232,57
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2013;21.417,53
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2012;21.021,31
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2011;22.387,23
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2010;22.810,89
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2009;22.664,50
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2008;22.982,25
Asturias, Principado de;De 35 a 44 años;Mujeres;2024;24.015,84
Asturias, Principado de;De 35 a 44 años;Mujeres;2023;23.262,86
Asturias, Principado de;De 35 a 44 años;Mujeres;2022;21.524,94
Asturias, Principado de;De 35 a 44 años;Mujeres;2021;20.436,67
Asturias, Principado de;De 35 a 44 años;Mujeres;2020;20.006,10
Asturias, Principado de;De 35 a 44 años;Mujeres;2019;21.112,49
Asturias, Principado de;De 35 a 44 años;Mujeres;2018;18.938,35
Asturias, Principado de;De 35 a 44 años;Mujeres;2017;17.557,65
Asturias, Principado de;De 35 a 44 años;Mujeres;2016;17.935,08
Asturias, Principado de;De 35 a 44 años;Mujeres;2015;17.561,39
Asturias, Principado de;De 35 a 44 años;Mujeres;2014;18.021,36
Asturias, Principado de;De 35 a 44 años;Mujeres;2013;17.772,87
Asturias, Principado de;De 35 a 44 años;Mujeres;2012;17.270,16
Asturias, Principado de;De 35 a 44 años;Mujeres;2011;18.891,25
Asturias, Principado de;De 35 a 44 años;Mujeres;2010;19.446,14
Asturias, Principado de;De 35 a 44 años;Mujeres;2009;19.081,25
Asturias, Principado de;De 35 a 44 años;Mujeres;2008;19.792,87
Asturias, Principado de;De 35 a 44 años;Hombres;2024;30.047,23
Asturias, Principado de;De 35 a 44 años;Hombres;2023;28.961,98
Asturias, Principado de;De 35 a 44 años;Hombres;2022;29.212,25
Asturias, Principado de;De 35 a 44 años;Hombres;2021;27.618,79
Asturias, Principado de;De 35 a 44 años;Hombres;2020;27.377,26
Asturias, Principado de;De 35 a 44 años;Hombres;2019;29.073,15
Asturias, Principado de;De 35 a 44 años;Hombres;2018;27.877,51
Asturias, Principado de;De 35 a 44 años;Hombres;2017;28.403,54
Asturias, Principado de;De 35 a 44 años;Hombres;2016;26.830,03
Asturias, Principado de;De 35 a 44 años;Hombres;2015;26.662,74
Asturias, Principado de;De 35 a 44 años;Hombres;2014;25.697,65
Asturias, Principado de;De 35 a 44 años;Hombres;2013;25.076,66
Asturias, Principado de;De 35 a 44 años;Hombres;2012;24.646,55
Asturias, Principado de;De 35 a 44 años;Hombres;2011;25.658,42
Asturias, Principado de;De 35 a 44 años;Hombres;2010;25.720,26
Asturias, Principado de;De 35 a 44 años;Hombres;2009;25.680,74
Asturias, Principado de;De 35 a 44 años;Hombres;2008;25.562,43
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2024;30.153,17
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2023;30.129,07
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2022;28.231,57
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2021;26.754,07
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2020;26.621,08
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2019;26.928,20
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2018;26.002,83
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2017;25.210,58
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2016;25.177,38
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2015;24.585,41
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2014;24.307,51
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2013;24.794,71
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2012;24.777,89
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2011;25.492,22
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2010;24.941,46
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2009;26.406,66
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2008;24.628,41
Asturias, Principado de;De 45 a 54 años;Mujeres;2024;25.893,26
Asturias, Principado de;De 45 a 54 años;Mujeres;2023;25.639,59
Asturias, Principado de;De 45 a 54 años;Mujeres;2022;23.884,49
Asturias, Principado de;De 45 a 54 años;Mujeres;2021;22.785,03
Asturias, Principado de;De 45 a 54 años;Mujeres;2020;23.390,80
Asturias, Principado de;De 45 a 54 años;Mujeres;2019;23.375,28
Asturias, Principado de;De 45 a 54 años;Mujeres;2018;20.731,94
Asturias, Principado de;De 45 a 54 años;Mujeres;2017;21.166,44
Asturias, Principado de;De 45 a 54 años;Mujeres;2016;20.910,86
Asturias, Principado de;De 45 a 54 años;Mujeres;2015;20.934,40
Asturias, Principado de;De 45 a 54 años;Mujeres;2014;20.453,47
Asturias, Principado de;De 45 a 54 años;Mujeres;2013;19.887,84
Asturias, Principado de;De 45 a 54 años;Mujeres;2012;19.213,83
Asturias, Principado de;De 45 a 54 años;Mujeres;2011;20.488,90
Asturias, Principado de;De 45 a 54 años;Mujeres;2010;20.494,35
Asturias, Principado de;De 45 a 54 años;Mujeres;2009;22.447,44
Asturias, Principado de;De 45 a 54 años;Mujeres;2008;20.707,30
Asturias, Principado de;De 45 a 54 años;Hombres;2024;34.312,84
Asturias, Principado de;De 45 a 54 años;Hombres;2023;34.303,41
Asturias, Principado de;De 45 a 54 años;Hombres;2022;32.475,46
Asturias, Principado de;De 45 a 54 años;Hombres;2021;31.028,09
Asturias, Principado de;De 45 a 54 años;Hombres;2020;30.204,52
Asturias, Principado de;De 45 a 54 años;Hombres;2019;30.611,86
Asturias, Principado de;De 45 a 54 años;Hombres;2018;30.675,60
Asturias, Principado de;De 45 a 54 años;Hombres;2017;29.219,75
Asturias, Principado de;De 45 a 54 años;Hombres;2016;29.420,15
Asturias, Principado de;De 45 a 54 años;Hombres;2015;28.113,85
Asturias, Principado de;De 45 a 54 años;Hombres;2014;27.975,58
Asturias, Principado de;De 45 a 54 años;Hombres;2013;29.947,39
Asturias, Principado de;De 45 a 54 años;Hombres;2012;29.611,39
Asturias, Principado de;De 45 a 54 años;Hombres;2011;29.505,26
Asturias, Principado de;De 45 a 54 años;Hombres;2010;28.774,36
Asturias, Principado de;De 45 a 54 años;Hombres;2009;29.916,83
Asturias, Principado de;De 45 a 54 años;Hombres;2008;27.928,86
Asturias, Principado de;55 y más años;Ambos sexos;2024;32.418,57
Asturias, Principado de;55 y más años;Ambos sexos;2023;31.221,17
Asturias, Principado de;55 y más años;Ambos sexos;2022;30.309,84
Asturias, Principado de;55 y más años;Ambos sexos;2021;28.097,03
Asturias, Principado de;55 y más años;Ambos sexos;2020;26.951,58
Asturias, Principado de;55 y más años;Ambos sexos;2019;27.657,58
Asturias, Principado de;55 y más años;Ambos sexos;2018;26.867,23
Asturias, Principado de;55 y más años;Ambos sexos;2017;26.629,65
Asturias, Principado de;55 y más años;Ambos sexos;2016;25.412,29
Asturias, Principado de;55 y más años;Ambos sexos;2015;25.684,88
Asturias, Principado de;55 y más años;Ambos sexos;2014;24.796,32
Asturias, Principado de;55 y más años;Ambos sexos;2013;24.878,04
Asturias, Principado de;55 y más años;Ambos sexos;2012;24.437,62
Asturias, Principado de;55 y más años;Ambos sexos;2011;26.033,07
Asturias, Principado de;55 y más años;Ambos sexos;2010;25.888,04
Asturias, Principado de;55 y más años;Ambos sexos;2009;24.403,27
Asturias, Principado de;55 y más años;Ambos sexos;2008;24.000,59
Asturias, Principado de;55 y más años;Mujeres;2024;29.173,37
Asturias, Principado de;55 y más años;Mujeres;2023;28.049,13
Asturias, Principado de;55 y más años;Mujeres;2022;28.120,99
Asturias, Principado de;55 y más años;Mujeres;2021;25.776,93
Asturias, Principado de;55 y más años;Mujeres;2020;24.036,28
Asturias, Principado de;55 y más años;Mujeres;2019;24.327,46
Asturias, Principado de;55 y más años;Mujeres;2018;23.242,05
Asturias, Principado de;55 y más años;Mujeres;2017;23.060,56
Asturias, Principado de;55 y más años;Mujeres;2016;22.000,65
Asturias, Principado de;55 y más años;Mujeres;2015;22.645,43
Asturias, Principado de;55 y más años;Mujeres;2014;-21.574,75
Asturias, Principado de;55 y más años;Mujeres;2013;-23.714,37
Asturias, Principado de;55 y más años;Mujeres;2012;-22.679,12
Asturias, Principado de;55 y más años;Mujeres;2011;-24.394
Asturias, Principado de;55 y más años;Mujeres;2010;-23.781,80
Asturias, Principado de;55 y más años;Mujeres;2009;-20.981,63
Asturias, Principado de;55 y más años;Mujeres;2008;-20.170,52
Asturias, Principado de;55 y más años;Hombres;2024;36.924,88
Asturias, Principado de;55 y más años;Hombres;2023;35.419,69
Asturias, Principado de;55 y más años;Hombres;2022;33.035,66
Asturias, Principado de;55 y más años;Hombres;2021;30.808,12
Asturias, Principado de;55 y más años;Hombres;2020;30.154,08
Asturias, Principado de;55 y más años;Hombres;2019;31.100,11
Asturias, Principado de;55 y más años;Hombres;2018;30.446,36
Asturias, Principado de;55 y más años;Hombres;2017;30.074,53
Asturias, Principado de;55 y más años;Hombres;2016;28.542,19
Asturias, Principado de;55 y más años;Hombres;2015;28.044,05
Asturias, Principado de;55 y más años;Hombres;2014;27.816,04
Asturias, Principado de;55 y más años;Hombres;2013;25.696,51
Asturias, Principado de;55 y más años;Hombres;2012;25.641,23
Asturias, Principado de;55 y más años;Hombres;2011;27.037,13
Asturias, Principado de;55 y más años;Hombres;2010;26.963,72
Asturias, Principado de;55 y más años;Hombres;2009;26.092,50
Asturias, Principado de;55 y más años;Hombres;2008;25.586,46
Balears, Illes;Todas las edades;Ambos sexos;2024;29.075,06
Balears, Illes;Todas las edades;Ambos sexos;2023;27.537
Balears, Illes;Todas las edades;Ambos sexos;2022;27.145,79
Balears, Illes;Todas las edades;Ambos sexos;2021;24.134,73
Balears, Illes;Todas las edades;Ambos sexos;2020;23.881,42
Balears, Illes;Todas las edades;Ambos sexos;2019;23.325,33
Balears, Illes;Todas las edades;Ambos sexos;2018;22.800,87
Balears, Illes;Todas las edades;Ambos sexos;2017;22.036,46
Balears, Illes;Todas las edades;Ambos sexos;2016;21.478,34
Balears, Illes;Todas las edades;Ambos sexos;2015;21.395,42
Balears, Illes;Todas las edades;Ambos sexos;2014;21.322,08
Balears, Illes;Todas las edades;Ambos sexos;2013;20.776,29
Balears, Illes;Todas las edades;Ambos sexos;2012;20.960,53
Balears, Illes;Todas las edades;Ambos sexos;2011;21.351
Balears, Illes;Todas las edades;Ambos sexos;2010;21.613,60
Balears, Illes;Todas las edades;Ambos sexos;2009;21.070,14
Balears, Illes;Todas las edades;Ambos sexos;2008;20.388,09
Balears, Illes;Todas las edades;Mujeres;2024;27.886,01
Balears, Illes;Todas las edades;Mujeres;2023;26.260,90
Balears, Illes;Todas las edades;Mujeres;2022;26.054,20
Balears, Illes;Todas las edades;Mujeres;2021;22.344,76
Balears, Illes;Todas las edades;Mujeres;2020;21.998,23
Balears, Illes;Todas las edades;Mujeres;2019;21.631,07
Balears, Illes;Todas las edades;Mujeres;2018;21.085,74
Balears, Illes;Todas las edades;Mujeres;2017;20.465,58
Balears, Illes;Todas las edades;Mujeres;2016;19.702,60
Balears, Illes;Todas las edades;Mujeres;2015;19.517,28
Balears, Illes;Todas las edades;Mujeres;2014;19.008,38
Balears, Illes;Todas las edades;Mujeres;2013;18.998,37
Balears, Illes;Todas las edades;Mujeres;2012;19.022,24
Balears, Illes;Todas las edades;Mujeres;2011;19.377,39
Balears, Illes;Todas las edades;Mujeres;2010;19.812,19
Balears, Illes;Todas las edades;Mujeres;2009;18.702,72
Balears, Illes;Todas las edades;Mujeres;2008;18.159,78
Balears, Illes;Todas las edades;Hombres;2024;30.172,85
Balears, Illes;Todas las edades;Hombres;2023;28.754,20
Balears, Illes;Todas las edades;Hombres;2022;28.155,99
Balears, Illes;Todas las edades;Hombres;2021;25.898,51
Balears, Illes;Todas las edades;Hombres;2020;25.699,53
Balears, Illes;Todas las edades;Hombres;2019;24.914,51
Balears, Illes;Todas las edades;Hombres;2018;24.437,58
Balears, Illes;Todas las edades;Hombres;2017;23.538,43
Balears, Illes;Todas las edades;Hombres;2016;23.286,85
Balears, Illes;Todas las edades;Hombres;2015;23.411,35
Balears, Illes;Todas las edades;Hombres;2014;23.770,56
Balears, Illes;Todas las edades;Hombres;2013;22.584,78
Balears, Illes;Todas las edades;Hombres;2012;22.859,04
Balears, Illes;Todas las edades;Hombres;2011;23.188,80
Balears, Illes;Todas las edades;Hombres;2010;23.213,04
Balears, Illes;Todas las edades;Hombres;2009;23.285,93
Balears, Illes;Todas las edades;Hombres;2008;22.253,73
Balears, Illes;Menos de 25 años;Ambos sexos;2024;-17.657,18
Balears, Illes;Menos de 25 años;Ambos sexos;2023;-16.387,78
Balears, Illes;Menos de 25 años;Ambos sexos;2022;-16.899,94
Balears, Illes;Menos de 25 años;Ambos sexos;2021;-14.471,19
Balears, Illes;Menos de 25 años;Ambos sexos;2020;-14.540,50
Balears, Illes;Menos de 25 años;Ambos sexos;2019;-13.984,62
Balears, Illes;Menos de 25 años;Ambos sexos;2018;-15.256,08
Balears, Illes;Menos de 25 años;Ambos sexos;2017;-13.965,85
Balears, Illes;Menos de 25 años;Ambos sexos;2016;-12.572,38
Balears, Illes;Menos de 25 años;Ambos sexos;2015;-13.338,74
Balears, Illes;Menos de 25 años;Ambos sexos;2014;-14.644,91
Balears, Illes;Menos de 25 años;Ambos sexos;2013;-11.286
Balears, Illes;Menos de 25 años;Ambos sexos;2012;-10.665,32
Balears, Illes;Menos de 25 años;Ambos sexos;2011;-12.149,88
Balears, Illes;Menos de 25 años;Ambos sexos;2010;-13.638,25
Balears, Illes;Menos de 25 años;Ambos sexos;2009;-13.501
Balears, Illes;Menos de 25 años;Ambos sexos;2008;13.570,12
Balears, Illes;Menos de 25 años;Mujeres;2024;-17.973,30
Balears, Illes;Menos de 25 años;Mujeres;2023;-16.544,11
Balears, Illes;Menos de 25 años;Mujeres;2022;-16.669,09
Balears, Illes;Menos de 25 años;Mujeres;2021;-13.624,67
Balears, Illes;Menos de 25 años;Mujeres;2020;-13.895,85
Balears, Illes;Menos de 25 años;Mujeres;2019;-13.361,89
Balears, Illes;Menos de 25 años;Mujeres;2018;-13.723,53
Balears, Illes;Menos de 25 años;Mujeres;2017;-13.250,28
Balears, Illes;Menos de 25 años;Mujeres;2016;..
Balears, Illes;Menos de 25 años;Mujeres;2015;-12.994,40
Balears, Illes;Menos de 25 años;Mujeres;2014;-13.920,82
Balears, Illes;Menos de 25 años;Mujeres;2013;..
Balears, Illes;Menos de 25 años;Mujeres;2012;-9.117,56
Balears, Illes;Menos de 25 años;Mujeres;2011;-11.984,86
Balears, Illes;Menos de 25 años;Mujeres;2010;-13.717,66
Balears, Illes;Menos de 25 años;Mujeres;2009;-13.311,38
Balears, Illes;Menos de 25 años;Mujeres;2008;-13.283,81
Balears, Illes;Menos de 25 años;Hombres;2024;-17.427,14
Balears, Illes;Menos de 25 años;Hombres;2023;-16.265,36
Balears, Illes;Menos de 25 años;Hombres;2022;-17.086,62
Balears, Illes;Menos de 25 años;Hombres;2021;-15.474,21
Balears, Illes;Menos de 25 años;Hombres;2020;-15.248,68
Balears, Illes;Menos de 25 años;Hombres;2019;-14.624,47
Balears, Illes;Menos de 25 años;Hombres;2018;-16.339,95
Balears, Illes;Menos de 25 años;Hombres;2017;-14.610,96
Balears, Illes;Menos de 25 años;Hombres;2016;-12.978,89
Balears, Illes;Menos de 25 años;Hombres;2015;-13.760,63
Balears, Illes;Menos de 25 años;Hombres;2014;-15.704,70
Balears, Illes;Menos de 25 años;Hombres;2013;..
Balears, Illes;Menos de 25 años;Hombres;2012;-12.122,28
Balears, Illes;Menos de 25 años;Hombres;2011;-12.276,74
